t (s);p(0) (bar); p(L) (bar);v(0) m/s; v(L) (m/s);T(0) (C); T(L) (C);rho(0) (kg/m3); rho(L) (kg/m3);mp(0) (kg/s), mp(L) (kg/s)
3.123228e-02; 1.100000e+00; 1.077565e+00; 8.567309e+00; 4.990587e+00; 2.930000e+02; 2.893723e+02; 1.308107e+00; 1.297491e+00; 8.801921e-02; 5.085644e-02
3.187374e-02; 1.100000e+00; 1.077580e+00; 1.006660e+01; 4.986446e+00; 2.930000e+02; 2.894165e+02; 1.308107e+00; 1.297312e+00; 1.034227e-01; 5.080723e-02
3.251519e-02; 1.100000e+00; 1.077596e+00; 1.094158e+01; 4.982293e+00; 2.930000e+02; 2.894601e+02; 1.308107e+00; 1.297136e+00; 1.124121e-01; 5.075802e-02
3.315733e-02; 1.100000e+00; 1.077612e+00; 1.119094e+01; 4.978119e+00; 2.930000e+02; 2.895032e+02; 1.308107e+00; 1.296962e+00; 1.149740e-01; 5.070870e-02
3.379905e-02; 1.100000e+00; 1.077628e+00; 1.098226e+01; 4.973932e+00; 2.930000e+02; 2.895458e+02; 1.308107e+00; 1.296791e+00; 1.128300e-01; 5.065936e-02
3.444099e-02; 1.100000e+00; 1.077645e+00; 1.058010e+01; 4.969727e+00; 2.930000e+02; 2.895879e+02; 1.308107e+00; 1.296622e+00; 1.086984e-01; 5.060992e-02
3.508334e-02; 1.100000e+00; 1.077661e+00; 1.022369e+01; 4.965504e+00; 2.930000e+02; 2.896297e+02; 1.308107e+00; 1.296454e+00; 1.050366e-01; 5.056039e-02
3.572541e-02; 1.100000e+00; 1.077677e+00; 1.003677e+01; 4.961271e+00; 2.930000e+02; 2.896710e+02; 1.308107e+00; 1.296289e+00; 1.031162e-01; 5.051084e-02
3.636761e-02; 1.100000e+00; 1.077694e+00; 1.001370e+01; 4.957021e+00; 2.930000e+02; 2.897119e+02; 1.308107e+00; 1.296126e+00; 1.028793e-01; 5.046122e-02
3.701025e-02; 1.100000e+00; 1.077710e+00; 1.007734e+01; 4.952755e+00; 2.930000e+02; 2.897524e+02; 1.308107e+00; 1.295965e+00; 1.035331e-01; 5.041152e-02
3.765263e-02; 1.100000e+00; 1.077727e+00; 1.014812e+01; 4.948479e+00; 2.930000e+02; 2.897924e+02; 1.308107e+00; 1.295806e+00; 1.042603e-01; 5.036182e-02
3.829507e-02; 1.100000e+00; 1.077743e+00; 1.018388e+01; 4.944188e+00; 2.930000e+02; 2.898319e+02; 1.308107e+00; 1.295649e+00; 1.046276e-01; 5.031205e-02
3.893788e-02; 1.100000e+00; 1.077760e+00; 1.018185e+01; 4.939881e+00; 2.930000e+02; 2.898711e+02; 1.308107e+00; 1.295494e+00; 1.046067e-01; 5.026222e-02
3.958059e-02; 1.100000e+00; 1.077777e+00; 1.015969e+01; 4.935565e+00; 2.930000e+02; 2.899098e+02; 1.308107e+00; 1.295341e+00; 1.043791e-01; 5.021238e-02
4.022327e-02; 1.100000e+00; 1.077793e+00; 1.013567e+01; 4.931236e+00; 2.930000e+02; 2.899481e+02; 1.308107e+00; 1.295190e+00; 1.041323e-01; 5.016249e-02
4.086619e-02; 1.100000e+00; 1.077810e+00; 1.011875e+01; 4.926893e+00; 2.930000e+02; 2.899860e+02; 1.308107e+00; 1.295041e+00; 1.039585e-01; 5.011254e-02
4.150926e-02; 1.100000e+00; 1.077827e+00; 1.010902e+01; 4.922538e+00; 2.930000e+02; 2.900234e+02; 1.308107e+00; 1.294894e+00; 1.038585e-01; 5.006257e-02
4.215224e-02; 1.100000e+00; 1.077844e+00; 1.010258e+01; 4.918173e+00; 2.930000e+02; 2.900605e+02; 1.308107e+00; 1.294749e+00; 1.037924e-01; 5.001258e-02
4.279532e-02; 1.100000e+00; 1.077861e+00; 1.009601e+01; 4.913795e+00; 2.930000e+02; 2.900971e+02; 1.308107e+00; 1.294606e+00; 1.037249e-01; 4.996253e-02
4.343873e-02; 1.100000e+00; 1.077878e+00; 1.008797e+01; 4.909404e+00; 2.930000e+02; 2.901333e+02; 1.308107e+00; 1.294465e+00; 1.036422e-01; 4.991245e-02
4.408204e-02; 1.100000e+00; 1.077895e+00; 1.007873e+01; 4.905006e+00; 2.930000e+02; 2.901691e+02; 1.308107e+00; 1.294326e+00; 1.035473e-01; 4.986237e-02
4.472536e-02; 1.100000e+00; 1.077912e+00; 1.006907e+01; 4.900595e+00; 2.930000e+02; 2.902044e+02; 1.308107e+00; 1.294188e+00; 1.034481e-01; 4.981225e-02
4.536888e-02; 1.100000e+00; 1.077929e+00; 1.005952e+01; 4.896174e+00; 2.930000e+02; 2.902394e+02; 1.308107e+00; 1.294053e+00; 1.033500e-01; 4.976210e-02
4.601256e-02; 1.100000e+00; 1.077947e+00; 1.005021e+01; 4.891743e+00; 2.930000e+02; 2.902740e+02; 1.308107e+00; 1.293919e+00; 1.032543e-01; 4.971195e-02
4.665618e-02; 1.100000e+00; 1.077964e+00; 1.004104e+01; 4.887305e+00; 2.930000e+02; 2.903081e+02; 1.308107e+00; 1.293788e+00; 1.031601e-01; 4.966179e-02
4.729988e-02; 1.100000e+00; 1.077981e+00; 1.003186e+01; 4.882856e+00; 2.930000e+02; 2.903419e+02; 1.308107e+00; 1.293658e+00; 1.030658e-01; 4.961161e-02
4.794382e-02; 1.100000e+00; 1.077998e+00; 1.002261e+01; 4.878398e+00; 2.930000e+02; 2.903753e+02; 1.308107e+00; 1.293530e+00; 1.029708e-01; 4.956142e-02
4.858779e-02; 1.100000e+00; 1.078016e+00; 1.001330e+01; 4.873934e+00; 2.930000e+02; 2.904082e+02; 1.308107e+00; 1.293404e+00; 1.028751e-01; 4.951124e-02
4.923176e-02; 1.100000e+00; 1.078033e+00; 1.000394e+01; 4.869463e+00; 2.930000e+02; 2.904408e+02; 1.308107e+00; 1.293280e+00; 1.027789e-01; 4.946107e-02
4.987585e-02; 1.100000e+00; 1.078051e+00; 9.994560e+00; 4.864983e+00; 2.930000e+02; 2.904730e+02; 1.308107e+00; 1.293158e+00; 1.026826e-01; 4.941089e-02
5.052021e-02; 1.100000e+00; 1.078068e+00; 9.985162e+00; 4.860497e+00; 2.930000e+02; 2.905048e+02; 1.308107e+00; 1.293037e+00; 1.025860e-01; 4.936072e-02
5.116450e-02; 1.100000e+00; 1.078086e+00; 9.975748e+00; 4.856008e+00; 2.930000e+02; 2.905362e+02; 1.308107e+00; 1.292918e+00; 1.024893e-01; 4.931061e-02
5.180883e-02; 1.100000e+00; 1.078103e+00; 9.966311e+00; 4.851515e+00; 2.930000e+02; 2.905672e+02; 1.308107e+00; 1.292801e+00; 1.023923e-01; 4.926052e-02
5.245332e-02; 1.100000e+00; 1.078121e+00; 9.956846e+00; 4.847038e+00; 2.930000e+02; 2.905979e+02; 1.308107e+00; 1.292686e+00; 1.022951e-01; 4.921067e-02
5.309798e-02; 1.100000e+00; 1.078141e+00; 9.947352e+00; 4.842730e+00; 2.930000e+02; 2.906288e+02; 1.308107e+00; 1.292572e+00; 1.021976e-01; 4.916262e-02
5.374261e-02; 1.100000e+00; 1.078170e+00; 9.937834e+00; 4.839360e+00; 2.930000e+02; 2.906620e+02; 1.308107e+00; 1.292461e+00; 1.020998e-01; 4.912417e-02
5.438732e-02; 1.100000e+00; 1.078236e+00; 9.928289e+00; 4.839806e+00; 2.930000e+02; 2.907043e+02; 1.308107e+00; 1.292351e+00; 1.020017e-01; 4.912453e-02
5.503219e-02; 1.100000e+00; 1.078402e+00; 9.918717e+00; 4.852579e+00; 2.930000e+02; 2.907729e+02; 1.308107e+00; 1.292245e+00; 1.019034e-01; 4.925012e-02
5.567718e-02; 1.100000e+00; 1.078796e+00; 9.909118e+00; 4.897830e+00; 2.930000e+02; 2.909019e+02; 1.308107e+00; 1.292143e+00; 1.018048e-01; 4.970548e-02
5.632217e-02; 1.100000e+00; 1.079628e+00; 9.899494e+00; 5.014048e+00; 2.930000e+02; 2.911472e+02; 1.308107e+00; 1.292052e+00; 1.017059e-01; 5.088130e-02
5.696724e-02; 1.100000e+00; 1.081185e+00; 9.889842e+00; 5.259900e+00; 2.930000e+02; 2.915838e+02; 1.308107e+00; 1.291977e+00; 1.016067e-01; 5.337306e-02
5.761252e-02; 1.100000e+00; 1.083760e+00; 9.880159e+00; 5.703561e+00; 2.930000e+02; 2.922885e+02; 1.308107e+00; 1.291932e+00; 1.015072e-01; 5.787294e-02
5.825788e-02; 1.100000e+00; 1.087490e+00; 9.870443e+00; 6.395697e+00; 2.930000e+02; 2.932936e+02; 1.308107e+00; 1.291935e+00; 1.014074e-01; 6.489607e-02
5.890333e-02; 1.100000e+00; 1.092080e+00; 9.860688e+00; 7.334543e+00; 2.930000e+02; 2.945139e+02; 1.308107e+00; 1.292012e+00; 1.013072e-01; 7.442684e-02
5.954909e-02; 1.100000e+00; 1.096606e+00; 9.850884e+00; 8.445580e+00; 2.930000e+02; 2.956938e+02; 1.308107e+00; 1.292190e+00; 1.012065e-01; 8.571279e-02
6.019513e-02; 1.100000e+00; 1.099726e+00; 9.841028e+00; 9.599095e+00; 2.930000e+02; 2.964692e+02; 1.308107e+00; 1.292478e+00; 1.011052e-01; 9.744135e-02
6.084118e-02; 1.100000e+00; 1.100395e+00; 9.831126e+00; 1.066491e+01; 2.930000e+02; 2.965630e+02; 1.308107e+00; 1.292855e+00; 1.010035e-01; 1.082921e-01
6.148035e-02; 1.100000e+00; 1.098517e+00; 9.821292e+00; 1.155470e+01; 2.930000e+02; 2.959628e+02; 1.308107e+00; 1.293266e+00; 1.009024e-01; 1.173644e-01
6.211347e-02; 1.100000e+00; 1.094940e+00; 9.811504e+00; 1.225759e+01; 2.930000e+02; 2.949132e+02; 1.308107e+00; 1.293643e+00; 1.008019e-01; 1.245402e-01
6.274196e-02; 1.100000e+00; 1.090781e+00; 9.801772e+00; 1.279667e+01; 2.930000e+02; 2.937279e+02; 1.308107e+00; 1.293930e+00; 1.007019e-01; 1.300462e-01
6.336715e-02; 1.100000e+00; 1.086989e+00; 9.792095e+00; 1.319890e+01; 2.930000e+02; 2.926690e+02; 1.308107e+00; 1.294096e+00; 1.006025e-01; 1.341510e-01
6.399021e-02; 1.100000e+00; 1.084169e+00; 9.782456e+00; 1.348071e+01; 2.930000e+02; 2.919000e+02; 1.308107e+00; 1.294139e+00; 1.005034e-01; 1.370199e-01
6.461206e-02; 1.100000e+00; 1.082572e+00; 9.772833e+00; 1.364646e+01; 2.930000e+02; 2.914838e+02; 1.308107e+00; 1.294078e+00; 1.004046e-01; 1.386980e-01
6.523350e-02; 1.100000e+00; 1.082149e+00; 9.763204e+00; 1.369536e+01; 2.930000e+02; 2.913996e+02; 1.308107e+00; 1.293947e+00; 1.003057e-01; 1.391810e-01
6.585520e-02; 1.100000e+00; 1.082636e+00; 9.753551e+00; 1.363272e+01; 2.930000e+02; 2.915685e+02; 1.308107e+00; 1.293779e+00; 1.002065e-01; 1.385264e-01
6.647714e-02; 1.100000e+00; 1.083656e+00; 9.743871e+00; 1.347979e+01; 2.930000e+02; 2.918817e+02; 1.308107e+00; 1.293608e+00; 1.001070e-01; 1.369543e-01
