t (s); x (mm); v (m/s); mdot (kg/s)
9.665475e-02; 9.705424e+00; +1.005200e-02; +2.741644e+01
9.738699e-02; 9.714958e+00; +1.591981e-02; +2.744338e+01
9.811922e-02; 9.728627e+00; +2.133578e-02; +2.748199e+01
9.885145e-02; 9.746076e+00; +2.623180e-02; +2.753128e+01
9.958369e-02; 9.766902e+00; +3.055021e-02; +2.759011e+01
1.003159e-01; 9.790664e+00; +3.424429e-02; +2.765724e+01
1.010482e-01; 9.816890e+00; +3.727866e-02; +2.773132e+01
1.017804e-01; 9.845090e+00; +3.962936e-02; +2.781098e+01
1.025126e-01; 9.874756e+00; +4.128389e-02; +2.789479e+01
1.032449e-01; 9.905378e+00; +4.224096e-02; +2.798129e+01
1.039771e-01; 9.936449e+00; +4.251014e-02; +2.806906e+01
1.047093e-01; 9.967470e+00; +4.211130e-02; +2.815669e+01
1.054416e-01; 9.997963e+00; +4.107398e-02; +2.824283e+01
1.061738e-01; 1.000000e+01; -3.154928e-02; +2.824858e+01
1.069060e-01; 9.977392e+00; -3.012989e-02; +2.818472e+01
1.076382e-01; 9.955978e+00; -2.829335e-02; +2.812423e+01
1.083705e-01; 9.936048e+00; -2.608269e-02; +2.806793e+01
1.091027e-01; 9.917860e+00; -2.354524e-02; +2.801655e+01
1.098349e-01; 9.901634e+00; -2.073175e-02; +2.797072e+01
1.105672e-01; 9.887554e+00; -1.769545e-02; +2.793094e+01
1.112994e-01; 9.875761e+00; -1.449119e-02; +2.789763e+01
1.120316e-01; 9.866359e+00; -1.117447e-02; +2.787107e+01
1.127639e-01; 9.859410e+00; -7.800610e-03; +2.785144e+01
1.134961e-01; 9.854936e+00; -4.423884e-03; +2.783880e+01
1.142283e-01; 9.852920e+00; -1.096704e-03; +2.783310e+01
1.149606e-01; 9.853306e+00; +2.131115e-03; +2.783420e+01
1.156928e-01; 9.856005e+00; +5.213039e-03; +2.784182e+01
1.164250e-01; 9.860894e+00; +8.106424e-03; +2.785563e+01
1.171573e-01; 9.867821e+00; +1.077304e-02; +2.787520e+01
1.178895e-01; 9.876607e+00; +1.317949e-02; +2.790002e+01
1.186217e-01; 9.887052e+00; +1.529761e-02; +2.792952e+01
1.193540e-01; 9.898934e+00; +1.710465e-02; +2.796309e+01
1.200862e-01; 9.912021e+00; +1.858350e-02; +2.800006e+01
1.208184e-01; 9.926066e+00; +1.972273e-02; +2.803974e+01
1.215507e-01; 9.940820e+00; +2.051655e-02; +2.808141e+01
1.222829e-01; 9.956028e+00; +2.096476e-02; +2.812437e+01
1.230151e-01; 9.971439e+00; +2.107249e-02; +2.816791e+01
1.237474e-01; 9.986807e+00; +2.084999e-02; +2.821132e+01
1.244796e-01; 1.000000e+01; -1.624979e-02; +2.824859e+01
1.252118e-01; 9.988369e+00; -1.548278e-02; +2.821573e+01
1.259441e-01; 9.977378e+00; -1.450272e-02; +2.818468e+01
1.266763e-01; 9.967176e+00; -1.333224e-02; +2.815587e+01
1.274085e-01; 9.957894e+00; -1.199615e-02; +2.812964e+01
1.281408e-01; 9.949642e+00; -1.052092e-02; +2.810633e+01
1.288730e-01; 9.942514e+00; -8.934291e-03; +2.808620e+01
1.296052e-01; 9.936579e+00; -7.264728e-03; +2.806943e+01
1.303375e-01; 9.931888e+00; -5.540999e-03; +2.805618e+01
1.310697e-01; 9.928470e+00; -3.791704e-03; +2.804653e+01
1.318019e-01; 9.926334e+00; -2.044839e-03; +2.804049e+01
1.325342e-01; 9.925468e+00; -3.273828e-04; +2.803805e+01
1.332664e-01; 9.925841e+00; +1.335086e-03; +2.803910e+01
1.339986e-01; 9.927404e+00; +2.918733e-03; +2.804352e+01
1.347309e-01; 9.930091e+00; +4.401780e-03; +2.805111e+01
1.354631e-01; 9.933821e+00; +5.764768e-03; +2.806164e+01
1.361953e-01; 9.938500e+00; +6.990780e-03; +2.807486e+01
1.369276e-01; 9.944022e+00; +8.065611e-03; +2.809046e+01
1.376598e-01; 9.950272e+00; +8.977896e-03; +2.810812e+01
1.383920e-01; 9.957128e+00; +9.719185e-03; +2.812748e+01
1.391243e-01; 9.964463e+00; +1.028397e-02; +2.814820e+01
1.398565e-01; 9.972145e+00; +1.066968e-02; +2.816990e+01
1.405887e-01; 9.980044e+00; +1.087660e-02; +2.819222e+01
1.413210e-01; 9.988031e+00; +1.090777e-02; +2.821478e+01
1.420532e-01; 9.995977e+00; +1.076886e-02; +2.823723e+01
1.427854e-01; 1.000000e+01; -8.374378e-03; +2.824859e+01
1.435177e-01; 9.994019e+00; -7.943184e-03; +2.823169e+01
1.442499e-01; 9.988394e+00; -7.404008e-03; +2.821580e+01
1.449821e-01; 9.983199e+00; -6.768980e-03; +2.820113e+01
1.457144e-01; 9.978501e+00; -6.051289e-03; +2.818786e+01
1.464466e-01; 9.974354e+00; -5.264946e-03; +2.817614e+01
1.471788e-01; 9.970804e+00; -4.424534e-03; +2.816612e+01
1.479111e-01; 9.967884e+00; -3.544964e-03; +2.815787e+01
1.486433e-01; 9.965618e+00; -2.641232e-03; +2.815147e+01
1.493755e-01; 9.964019e+00; -1.728184e-03; +2.814695e+01
1.501078e-01; 9.963086e+00; -8.202925e-04; +2.814431e+01
1.508400e-01; 9.962813e+00; +6.855793e-05; +2.814354e+01
1.515722e-01; 9.963179e+00; +9.252622e-04; +2.814458e+01
1.523045e-01; 9.964157e+00; +1.737672e-03; +2.814734e+01
1.530367e-01; 9.965710e+00; +2.494749e-03; +2.815173e+01
1.537689e-01; 9.967794e+00; +3.186700e-03; +2.815761e+01
1.545012e-01; 9.970359e+00; +3.805082e-03; +2.816486e+01
1.552334e-01; 9.973347e+00; +4.342887e-03; +2.817330e+01
1.559656e-01; 9.976698e+00; +4.794601e-03; +2.818277e+01
1.566979e-01; 9.980347e+00; +5.156236e-03; +2.819307e+01
1.574301e-01; 9.984226e+00; +5.425339e-03; +2.820403e+01
1.581623e-01; 9.988269e+00; +5.600977e-03; +2.821545e+01
1.588946e-01; 9.992406e+00; +5.683698e-03; +2.822714e+01
1.596268e-01; 9.996570e+00; +5.675469e-03; +2.823890e+01
1.603590e-01; 1.000000e+01; -4.463678e-03; +2.824859e+01
1.610913e-01; 9.996825e+00; -4.199246e-03; +2.823962e+01
1.618235e-01; 9.993864e+00; -3.879005e-03; +2.823126e+01
1.625557e-01; 9.991156e+00; -3.509866e-03; +2.822361e+01
1.632880e-01; 9.988734e+00; -3.099260e-03; +2.821677e+01
1.640202e-01; 9.986625e+00; -2.654998e-03; +2.821081e+01
1.647524e-01; 9.984852e+00; -2.185140e-03; +2.820580e+01
1.654847e-01; 9.983430e+00; -1.697859e-03; +2.820178e+01
1.662169e-01; 9.982368e+00; -1.201316e-03; +2.819878e+01
1.669491e-01; 9.981671e+00; -7.035253e-04; +2.819681e+01
1.676814e-01; 9.981336e+00; -2.122441e-04; +2.819587e+01
1.684136e-01; 9.981356e+00; +2.651443e-04; +2.819593e+01
1.691458e-01; 9.981719e+00; +7.217297e-04; +2.819695e+01
1.698781e-01; 9.982407e+00; +1.151166e-03; +2.819889e+01
1.706103e-01; 9.983397e+00; +1.547749e-03; +2.820169e+01
1.713425e-01; 9.984664e+00; +1.906483e-03; +2.820527e+01
1.720748e-01; 9.986179e+00; +2.223135e-03; +2.820955e+01
1.728070e-01; 9.987909e+00; +2.494271e-03; +2.821444e+01
1.735392e-01; 9.989820e+00; +2.717280e-03; +2.821983e+01
1.742715e-01; 9.991876e+00; +2.890392e-03; +2.822564e+01
1.750037e-01; 9.994040e+00; +3.012669e-03; +2.823176e+01
1.757359e-01; 9.996275e+00; +3.083994e-03; +2.823807e+01
1.764681e-01; 9.998544e+00; +3.105045e-03; +2.824448e+01
1.772004e-01; 1.000000e+01; -2.461802e-03; +2.824859e+01
1.779326e-01; 9.998261e+00; -2.282741e-03; +2.824368e+01
1.786648e-01; 9.996664e+00; -2.074576e-03; +2.823917e+01
1.793971e-01; 9.995229e+00; -1.841551e-03; +2.823511e+01
1.801293e-01; 9.993972e+00; -1.588146e-03; +2.823156e+01
1.808615e-01; 9.992907e+00; -1.318998e-03; +2.822855e+01
1.815938e-01; 9.992043e+00; -1.038828e-03; +2.822611e+01
1.823260e-01; 9.991387e+00; -7.523628e-04; +2.822426e+01
1.830582e-01; 9.990942e+00; -4.642600e-04; +2.822300e+01
1.837905e-01; 9.990707e+00; -1.790404e-04; +2.822234e+01
1.845227e-01; 9.990678e+00; +9.897784e-05; +2.822226e+01
1.852549e-01; 9.990849e+00; +3.657394e-04; +2.822274e+01
1.859872e-01; 9.991210e+00; +6.175050e-04; +2.822376e+01
1.867194e-01; 9.991749e+00; +8.508984e-04; +2.822528e+01
1.874516e-01; 9.992451e+00; +1.062946e-03; +2.822727e+01
1.881839e-01; 9.993299e+00; +1.251110e-03; +2.822966e+01
1.889161e-01; 9.994277e+00; +1.413310e-03; +2.823242e+01
1.896483e-01; 9.995362e+00; +1.547940e-03; +2.823549e+01
1.903806e-01; 9.996537e+00; +1.653879e-03; +2.823881e+01
1.911128e-01; 9.997777e+00; +1.730490e-03; +2.824231e+01
1.918450e-01; 9.999064e+00; +1.777610e-03; +2.824595e+01
1.925773e-01; 1.000000e+01; -1.436433e-03; +2.824859e+01
1.933095e-01; 9.998997e+00; -1.301104e-03; +2.824576e+01
1.940417e-01; 9.998098e+00; -1.150350e-03; +2.824322e+01
1.947740e-01; 9.997315e+00; -9.870465e-04; +2.824101e+01
1.955062e-01; 9.996655e+00; -8.141631e-04; +2.823914e+01
1.962384e-01; 9.996124e+00; -6.347127e-04; +2.823764e+01
1.969707e-01; 9.995727e+00; -4.517054e-04; +2.823652e+01
1.977029e-01; 9.995463e+00; -2.681006e-04; +2.823578e+01
1.984351e-01; 9.995333e+00; -8.676389e-05; +2.823541e+01
1.991674e-01; 9.995335e+00; +8.957467e-05; +2.823541e+01
1.998996e-01; 9.995463e+00; +2.583579e-04; +2.823577e+01
2.006318e-01; 9.995711e+00; +4.172351e-04; +2.823647e+01
2.013641e-01; 9.996071e+00; +5.640912e-04; +2.823749e+01
2.020963e-01; 9.996533e+00; +6.970714e-04; +2.823880e+01
2.028285e-01; 9.997088e+00; +8.146008e-04; +2.824037e+01
2.035608e-01; 9.997722e+00; +9.153987e-04; +2.824216e+01
2.042930e-01; 9.998424e+00; +9.984886e-04; +2.824414e+01
2.050252e-01; 9.999180e+00; +1.063203e-03; +2.824628e+01
2.057575e-01; 9.999977e+00; +1.109180e-03; +2.824853e+01
2.064897e-01; 1.000000e+01; -9.090922e-04; +2.824859e+01
2.072219e-01; 9.999375e+00; -7.962564e-04; +2.824683e+01
2.079542e-01; 9.998836e+00; -6.750312e-04; +2.824530e+01
2.086864e-01; 9.998388e+00; -5.475883e-04; +2.824404e+01
